DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Finland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,France,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Croatia,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Hungary,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Ireland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Iceland,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Liechtenstein,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Lithuania,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Luxembourg,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Latvia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Malta,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Netherlands,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Norway,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Poland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Portugal,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Romania,2020,4,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Serbia,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Sweden,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Slovenia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 1 to 4 years,"COVID-19, virus identified",All deaths reported in the country,Slovakia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Finland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,France,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Croatia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Hungary,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Ireland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Iceland,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Liechtenstein,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Lithuania,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Luxembourg,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Latvia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Malta,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Netherlands,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Norway,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Poland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Portugal,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Romania,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Serbia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Sweden,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Slovenia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 10 to 14 years,"COVID-19, virus identified",All deaths reported in the country,Slovakia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,7,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,8,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Finland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,France,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Croatia,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Hungary,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Ireland,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Iceland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Liechtenstein,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Lithuania,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Luxembourg,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Latvia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Malta,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Netherlands,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Norway,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Poland,2020,9,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Portugal,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Romania,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Serbia,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Sweden,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Slovenia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 19 years,"COVID-19, virus identified",All deaths reported in the country,Slovakia,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,12,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,4,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,18,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Finland,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,France,2020,14,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Croatia,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Hungary,2020,10,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Ireland,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Iceland,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Liechtenstein,2020,,c
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Lithuania,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Luxembourg,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Latvia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Malta,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Netherlands,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Norway,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Poland,2020,30,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Portugal,2020,3,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Romania,2020,18,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Serbia,2020,8,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Sweden,2020,5,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Slovenia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 24 years,"COVID-19, virus identified",All deaths reported in the country,Slovakia,2020,2,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Austria,2020,4,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Bulgaria,2020,22,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Switzerland,2020,1,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Cyprus,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Czechia,2020,7,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Germany (until 1990 former territory of the FRG),2020,20,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Denmark,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Estonia,2020,0,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Greece,2020,7,
ESTAT:HLTH_CD_ARO(1.0),31/01/23 23:00:00,Annual,Number,Total,From 15 to 29 years,"COVID-19, virus identified",All deaths reported in the country,Spain,2020,56,
